-5.97919321575	-8.78992907776	-3.16845735374
-4.61851025115	-7.23389615254	-2.00312434977
-3.36021738254	-5.81946383277	-0.900970932313
-2.19660985279	-4.53110203728	0.137882331701
-1.12056268042	-3.35462670784	1.113501347
-0.125487031998	-2.2773450661	2.0263710021
0.794710122459	-1.28810031425	2.87752055917
1.64566331824	-0.377217623934	3.66854426042
2.43258309724	0.463621913851	4.40154428062
3.16028791301	1.24154564433	5.0790301817
3.8332336351	1.96266340705	5.70380386316
4.45554083311	2.6322323753	6.27884929092
5.03102000769	3.25480286697	6.80723714842
5.56319492298	3.83434183881	7.29204800714
6.0553241832	4.37433463121	7.73631373519
6.51042118572	4.87786739491	8.14297497654
6.93127257264	5.34769325545	8.51485188983
7.32045529388	5.78628522755	8.8546253602
7.68035238634	6.19587854816	9.16482622451
8.01316756567	6.57850465845	9.4478304729
8.32093872003	6.93601863596	9.70585880409
8.60555038841	7.27012150124	9.94097927557
8.86874530005	7.58237851117	10.1551120889
9.1121350455	7.87423430144	10.3500357895
9.33720994461	8.14702554469	10.5273943445
9.54534817213	8.40199163881	10.6887047054
9.73782419643	8.64028382366	10.8353645692
9.91581658339	8.86297303442	10.9686601324
10.0804152129	9.07105673198	11.0897736938
10.2326279525	9.26546489793	11.199791007
10.3733868285	9.44706534197	11.299708315
10.5035537332	9.6166684382	11.3904390283
10.6239257025	9.77503138349	11.4728200215
10.7352397958	9.92286205217	11.5476175395
10.8381776097	10.0608225071	11.6155327124
10.9333694513	10.189532216	11.6772066866
11.0213981975	10.309571012	11.733225383
11.1028028645	10.4214818328	11.7841238962
11.1780819079	10.525773262	11.8303905537
11.247696275	10.6229218982	11.8724706519
11.3120722274	10.7133745657	11.9107698891
11.3716039507	10.7975503844	11.945657517
11.4266559686	10.8758427076	11.9774692296
11.4775653746	10.9486209371	12.0065098122
11.5246438964	11.0162322214	12.0330555714
11.5681798042	11.0790030412	12.0573565673
11.6084396765	11.1372406844	12.0796386687
11.6456700318	11.1912346107	12.1001054529
11.6800988384	11.241257709	12.1189399678
11.7119369101	11.2875674435	12.1363063766
11.7413791972	11.3304068941	12.1523515003
11.7686059803	11.3700056884	12.1672062721
11.7937839739	11.4065808316	12.1809871162
11.8170673475	11.4403374369	12.1937972581
11.8385986694	11.4714693657	12.2057279732
11.8585097799	11.5001597846	12.2168597753
11.8769225983	11.5265816506	12.2272635461
11.8939498697	11.5508981367	12.2370016026
